Region,Code,Name,CC Adult Open_43801,CC Adult Occ_43801,Occupancy rate_43801,CC Adult Open_43802,CC Adult Occ_43802,Occupancy rate_43802,CC Adult Open_43803,CC Adult Occ_43803,Occupancy rate_43803,CC Adult Open_43804,CC Adult Occ_43804,Occupancy rate_43804,CC Adult Open_43805,CC Adult Occ_43805,Occupancy rate_43805,CC Adult Open_43806,CC Adult Occ_43806,Occupancy rate_43806,CC Adult Open_43807,CC Adult Occ_43807,Occupancy rate_43807,CC Adult Open_43808,CC Adult Occ_43808,Occupancy rate_43808,CC Adult Open_43809,CC Adult Occ_43809,Occupancy rate_43809,CC Adult Open_43810,CC Adult Occ_43810,Occupancy rate_43810,CC Adult Open_43811,CC Adult Occ_43811,Occupancy rate_43811,CC Adult Open_43812,CC Adult Occ_43812,Occupancy rate_43812,CC Adult Open_43813,CC Adult Occ_43813,Occupancy rate_43813,CC Adult Open_43814,CC Adult Occ_43814,Occupancy rate_43814,CC Adult Open_43815,CC Adult Occ_43815,Occupancy rate_43815,CC Adult Open_43816,CC Adult Occ_43816,Occupancy rate_43816,CC Adult Open_43817,CC Adult Occ_43817,Occupancy rate_43817,CC Adult Open_43818,CC Adult Occ_43818,Occupancy rate_43818,CC Adult Open_43819,CC Adult Occ_43819,Occupancy rate_43819,CC Adult Open_43820,CC Adult Occ_43820,Occupancy rate_43820,CC Adult Open_43821,CC Adult Occ_43821,Occupancy rate_43821,CC Adult Open_43822,CC Adult Occ_43822,Occupancy rate_43822,CC Adult Open_43823,CC Adult Occ_43823,Occupancy rate_43823,CC Adult Open_43824,CC Adult Occ_43824,Occupancy rate_43824,CC Adult Open_43825,CC Adult Occ_43825,Occupancy rate_43825,CC Adult Open_43826,CC Adult Occ_43826,Occupancy rate_43826,CC Adult Open_43827,CC Adult Occ_43827,Occupancy rate_43827,CC Adult Open_43828,CC Adult Occ_43828,Occupancy rate_43828,CC Adult Open_43829,CC Adult Occ_43829,Occupancy rate_43829,CC Adult Open_43830,CC Adult Occ_43830,Occupancy rate_43830,CC Adult Open_43831,CC Adult Occ_43831,Occupancy rate_43831,CC Adult Open_43832,CC Adult Occ_43832,Occupancy rate_43832,CC Adult Open_43833,CC Adult Occ_43833,Occupancy rate_43833,CC Adult Open_43834,CC Adult Occ_43834,Occupancy rate_43834,CC Adult Open_43835,CC Adult Occ_43835,Occupancy rate_43835,CC Adult Open_43836,CC Adult Occ_43836,Occupancy rate_43836,CC Adult Open_43837,CC Adult Occ_43837,Occupancy rate_43837,CC Adult Open_43838,CC Adult Occ_43838,Occupancy rate_43838,CC Adult Open_43839,CC Adult Occ_43839,Occupancy rate_43839,CC Adult Open_43840,CC Adult Occ_43840,Occupancy rate_43840,CC Adult Open_43841,CC Adult Occ_43841,Occupancy rate_43841,CC Adult Open_43842,CC Adult Occ_43842,Occupancy rate_43842,CC Adult Open_43843,CC Adult Occ_43843,Occupancy rate_43843,CC Adult Open_43844,CC Adult Occ_43844,Occupancy rate_43844,CC Adult Open_43845,CC Adult Occ_43845,Occupancy rate_43845,CC Adult Open_43846,CC Adult Occ_43846,Occupancy rate_43846,CC Adult Open_43847,CC Adult Occ_43847,Occupancy rate_43847,CC Adult Open_43848,CC Adult Occ_43848,Occupancy rate_43848,CC Adult Open_43849,CC Adult Occ_43849,Occupancy rate_43849,CC Adult Open_43850,CC Adult Occ_43850,Occupancy rate_43850,CC Adult Open_43851,CC Adult Occ_43851,Occupancy rate_43851,CC Adult Open_43852,CC Adult Occ_43852,Occupancy rate_43852,CC Adult Open_43853,CC Adult Occ_43853,Occupancy rate_43853,CC Adult Open_43854,CC Adult Occ_43854,Occupancy rate_43854,CC Adult Open_43855,CC Adult Occ_43855,Occupancy rate_43855,CC Adult Open_43856,CC Adult Occ_43856,Occupancy rate_43856,CC Adult Open_43857,CC Adult Occ_43857,Occupancy rate_43857,CC Adult Open_43858,CC Adult Occ_43858,Occupancy rate_43858,CC Adult Open_43859,CC Adult Occ_43859,Occupancy rate_43859,CC Adult Open_43860,CC Adult Occ_43860,Occupancy rate_43860,CC Adult Open_43861,CC Adult Occ_43861,Occupancy rate_43861,CC Adult Open_43862,CC Adult Occ_43862,Occupancy rate_43862,CC Adult Open_43863,CC Adult Occ_43863,Occupancy rate_43863,CC Adult Open_43864,CC Adult Occ_43864,Occupancy rate_43864,CC Adult Open_43865,CC Adult Occ_43865,Occupancy rate_43865,CC Adult Open_43866,CC Adult Occ_43866,Occupancy rate_43866,CC Adult Open_43867,CC Adult Occ_43867,Occupancy rate_43867,CC Adult Open_43868,CC Adult Occ_43868,Occupancy rate_43868,CC Adult Open_43869,CC Adult Occ_43869,Occupancy rate_43869,CC Adult Open_43870,CC Adult Occ_43870,Occupancy rate_43870,CC Adult Open_43871,CC Adult Occ_43871,Occupancy rate_43871,CC Adult Open_43872,CC Adult Occ_43872,Occupancy rate_43872,CC Adult Open_43873,CC Adult Occ_43873,Occupancy rate_43873,CC Adult Open_43874,CC Adult Occ_43874,Occupancy rate_43874,CC Adult Open_43875,CC Adult Occ_43875,Occupancy rate_43875,CC Adult Open_43876,CC Adult Occ_43876,Occupancy rate_43876,CC Adult Open_43877,CC Adult Occ_43877,Occupancy rate_43877,CC Adult Open_43878,CC Adult Occ_43878,Occupancy rate_43878,CC Adult Open_43879,CC Adult Occ_43879,Occupancy rate_43879,CC Adult Open_43880,CC Adult Occ_43880,Occupancy rate_43880,CC Adult Open_43881,CC Adult Occ_43881,Occupancy rate_43881,CC Adult Open_43882,CC Adult Occ_43882,Occupancy rate_43882,CC Adult Open_43883,CC Adult Occ_43883,Occupancy rate_43883,CC Adult Open_43884,CC Adult Occ_43884,Occupancy rate_43884,CC Adult Open_43885,CC Adult Occ_43885,Occupancy rate_43885,CC Adult Open_43886,CC Adult Occ_43886,Occupancy rate_43886,CC Adult Open_43887,CC Adult Occ_43887,Occupancy rate_43887,CC Adult Open_43888,CC Adult Occ_43888,Occupancy rate_43888,CC Adult Open_43889,CC Adult Occ_43889,Occupancy rate_43889,CC Adult Open_43890,CC Adult Occ_43890,Occupancy rate_43890,CC Adult Open_43891,CC Adult Occ_43891,Occupancy rate_43891
North East and Yorkshire Commissioning Region,RAE,Bradford Teaching Hospitals NHS Foundation Trust,16,16,100.00%,16,16,100.00%,16,16,100.00%,16,15,93.80%,16,13,81.30%,16,12,75.00%,16,13,81.30%,16,16,100.00%,16,16,100.00%,16,15,93.80%,16,12,75.00%,16,11,68.80%,16,10,62.50%,16,12,75.00%,16,15,93.80%,16,16,100.00%,16,14,87.50%,16,13,81.30%,16,13,81.30%,16,13,81.30%,16,11,68.80%,16,10,62.50%,16,13,81.30%,16,11,68.80%,16,11,68.80%,16,13,81.30%,16,13,81.30%,16,15,93.80%,16,15,93.80%,16,13,81.30%,16,13,81.30%,16,13,81.30%,16,14,87.50%,16,14,87.50%,16,14,87.50%,16,15,93.80%,16,14,87.50%,16,12,75.00%,16,12,75.00%,16,14,87.50%,16,10,62.50%,16,14,87.50%,16,14,87.50%,16,16,100.00%,16,16,100.00%,16,13,81.30%,16,12,75.00%,16,11,68.80%,16,11,68.80%,16,14,87.50%,16,12,75.00%,16,10,62.50%,16,13,81.30%,16,14,87.50%,16,12,75.00%,16,11,68.80%,16,16,100.00%,16,12,75.00%,16,9,56.30%,16,10,62.50%,16,13,81.30%,16,9,56.30%,16,8,50.00%,16,13,81.30%,16,11,68.80%,16,14,87.50%,16,14,87.50%,16,12,75.00%,16,12,75.00%,16,13,81.30%,16,13,81.30%,16,12,75.00%,16,12,75.00%,16,10,62.50%,16,10,62.50%,16,10,62.50%,16,9,56.30%,16,13,81.30%,16,8,50.00%,16,11,68.80%,16,9,56.30%,16,10,62.50%,16,9,56.30%,16,10,62.50%,16,12,75.00%,16,15,93.80%,16,11,68.80%,16,13,81.30%,16,13,81.30%,16,10,62.50%,16,9,56.30%
North East and Yorkshire Commissioning Region,RWY,Calderdale and Huddersfield NHS Foundation Trust,13,8,61.50%,13,8,61.50%,13,10,76.90%,13,8,61.50%,13,5,38.50%,13,6,46.20%,13,7,53.80%,13,9,69.20%,13,11,84.60%,13,12,92.30%,13,12,92.30%,13,11,84.60%,13,10,76.90%,13,10,76.90%,13,12,92.30%,13,9,69.20%,13,10,76.90%,13,12,92.30%,13,11,84.60%,13,10,76.90%,13,11,84.60%,13,9,69.20%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,9,69.20%,14,11,78.60%,13,10,76.90%,13,8,61.50%,13,10,76.90%,13,11,84.60%,13,10,76.90%,13,11,84.60%,13,10,76.90%,13,11,84.60%,13,12,92.30%,13,13,100.00%,13,12,92.30%,13,13,100.00%,13,13,100.00%,13,11,84.60%,13,10,76.90%,13,13,100.00%,13,9,69.20%,13,11,84.60%,13,11,84.60%,13,10,76.90%,13,9,69.20%,13,10,76.90%,14,10,71.40%,13,11,84.60%,13,12,92.30%,13,13,100.00%,14,13,92.90%,13,8,61.50%,13,10,76.90%,13,11,84.60%,13,10,76.90%,13,10,76.90%,13,7,53.80%,13,8,61.50%,13,7,53.80%,13,7,53.80%,13,8,61.50%,13,8,61.50%,13,10,76.90%,13,9,69.20%,13,6,46.20%,13,5,38.50%,13,5,38.50%,13,10,76.90%,13,8,61.50%,13,6,46.20%,13,9,69.20%,13,6,46.20%,13,8,61.50%,13,9,69.20%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,12,92.30%,12,12,100.00%,13,11,84.60%,13,12,92.30%,13,11,84.60%,13,10,76.90%,13,9,69.20%
North East and Yorkshire Commissioning Region,RXP,County Durham and Darlington NHS Foundation Trust,21,14,66.70%,21,16,76.20%,21,13,61.90%,21,14,66.70%,21,12,57.10%,21,17,81.00%,21,15,71.40%,21,15,71.40%,21,16,76.20%,21,16,76.20%,21,14,66.70%,21,17,81.00%,21,17,81.00%,21,17,81.00%,21,16,76.20%,21,16,76.20%,21,15,71.40%,21,18,85.70%,21,14,66.70%,21,14,66.70%,21,15,71.40%,21,17,81.00%,21,16,76.20%,21,15,71.40%,21,15,71.40%,21,15,71.40%,21,15,71.40%,21,15,71.40%,21,20,95.20%,21,18,85.70%,21,19,90.50%,21,18,85.70%,21,16,76.20%,21,13,61.90%,21,15,71.40%,21,16,76.20%,21,18,85.70%,21,16,76.20%,21,17,81.00%,21,17,81.00%,21,15,71.40%,21,13,61.90%,21,16,76.20%,21,15,71.40%,21,15,71.40%,21,12,57.10%,21,16,76.20%,21,17,81.00%,21,16,76.20%,21,16,76.20%,21,17,81.00%,21,16,76.20%,21,12,57.10%,21,14,66.70%,21,12,57.10%,21,10,47.60%,21,12,57.10%,21,11,52.40%,21,12,57.10%,21,15,71.40%,21,16,76.20%,21,12,57.10%,21,11,52.40%,21,14,66.70%,21,16,76.20%,21,16,76.20%,21,17,81.00%,21,17,81.00%,21,14,66.70%,21,14,66.70%,21,15,71.40%,21,16,76.20%,21,16,76.20%,21,17,81.00%,21,15,71.40%,21,17,81.00%,21,18,85.70%,21,15,71.40%,21,15,71.40%,21,15,71.40%,21,13,61.90%,21,12,57.10%,21,15,71.40%,21,16,76.20%,21,15,71.40%,21,16,76.20%,21,13,61.90%,21,15,71.40%,21,15,71.40%,21,16,76.20%,21,18,85.70%
North East and Yorkshire Commissioning Region,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,25,24,96.00%,25,21,84.00%,25,23,92.00%,25,23,92.00%,25,22,88.00%,25,21,84.00%,25,23,92.00%,25,22,88.00%,25,24,96.00%,25,23,92.00%,25,23,92.00%,25,24,96.00%,25,25,100.00%,25,23,92.00%,25,23,92.00%,25,24,96.00%,25,24,96.00%,25,23,92.00%,25,24,96.00%,25,23,92.00%,25,23,92.00%,25,24,96.00%,25,24,96.00%,25,24,96.00%,25,23,92.00%,25,24,96.00%,25,24,96.00%,25,24,96.00%,25,24,96.00%,25,24,96.00%,25,24,96.00%,25,25,100.00%,25,23,92.00%,25,22,88.00%,25,22,88.00%,25,22,88.00%,25,21,84.00%,25,24,96.00%,25,23,92.00%,25,22,88.00%,25,22,88.00%,25,23,92.00%,25,24,96.00%,25,20,80.00%,25,21,84.00%,25,20,80.00%,25,18,72.00%,25,21,84.00%,25,21,84.00%,25,22,88.00%,25,22,88.00%,25,20,80.00%,25,23,92.00%,25,21,84.00%,25,22,88.00%,25,22,88.00%,25,23,92.00%,25,24,96.00%,25,24,96.00%,25,24,96.00%,25,22,88.00%,25,21,84.00%,25,20,80.00%,25,21,84.00%,25,21,84.00%,25,21,84.00%,25,21,84.00%,25,21,84.00%,25,20,80.00%,25,23,92.00%,25,22,88.00%,25,24,96.00%,25,24,96.00%,25,23,92.00%,25,25,100.00%,25,23,92.00%,25,22,88.00%,25,23,92.00%,25,23,92.00%,25,22,88.00%,25,24,96.00%,25,20,80.00%,25,22,88.00%,25,20,80.00%,25,22,88.00%,25,23,92.00%,25,23,92.00%,25,22,88.00%,25,22,88.00%,25,21,84.00%,25,21,84.00%
North East and Yorkshire Commissioning Region,RR7,Gateshead Health NHS Foundation Trust,12,12,100.00%,12,10,83.30%,12,10,83.30%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,8,66.70%,12,10,83.30%,12,9,75.00%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,9,75.00%,12,10,83.30%,12,10,83.30%,12,7,58.30%,12,12,100.00%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,12,100.00%,13,13,100.00%,12,8,66.70%,12,8,66.70%,12,7,58.30%,12,10,83.30%,12,9,75.00%,12,12,100.00%,12,12,100.00%,12,11,91.70%,14,14,100.00%,12,11,91.70%,13,13,100.00%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,9,75.00%,12,9,75.00%,12,8,66.70%,12,7,58.30%,12,9,75.00%,12,10,83.30%,12,7,58.30%,12,6,50.00%,12,8,66.70%,12,8,66.70%,12,5,41.70%,12,8,66.70%,12,8,66.70%,12,8,66.70%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,9,75.00%,12,9,75.00%,12,6,50.00%,12,11,91.70%,12,9,75.00%,12,9,75.00%,12,7,58.30%,12,7,58.30%,12,6,50.00%,12,7,58.30%,12,9,75.00%,12,8,66.70%,12,12,100.00%,12,11,91.70%,12,7,58.30%,12,9,75.00%,12,8,66.70%,12,9,75.00%,12,10,83.30%,12,12,100.00%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,9,75.00%,12,8,66.70%,12,8,66.70%,12,7,58.30%,12,9,75.00%,12,11,91.70%,12,12,100.00%,12,12,100.00%,12,12,100.00%,12,8,66.70%,12,6,50.00%,12,7,58.30%
North East and Yorkshire Commissioning Region,RCD,Harrogate and District NHS Foundation Trust,8,6,75.00%,8,7,87.50%,8,7,87.50%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,8,100.00%,8,7,87.50%,8,7,87.50%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,7,87.50%,8,4,50.00%,8,5,62.50%,8,7,87.50%,8,4,50.00%,8,2,25.00%,8,3,37.50%,8,3,37.50%,8,4,50.00%,8,6,75.00%,8,5,62.50%,8,4,50.00%,8,5,62.50%,8,6,75.00%,8,5,62.50%,8,8,100.00%,8,7,87.50%,8,6,75.00%,8,7,87.50%,8,5,62.50%,8,5,62.50%,8,5,62.50%,8,5,62.50%,8,7,87.50%,8,8,100.00%,8,8,100.00%,8,6,75.00%,8,8,100.00%,8,8,100.00%,8,4,50.00%,8,4,50.00%,8,4,50.00%,8,5,62.50%,8,4,50.00%,8,5,62.50%,8,8,100.00%,8,6,75.00%,8,8,100.00%,8,5,62.50%,8,6,75.00%,8,5,62.50%,8,5,62.50%,8,6,75.00%,8,7,87.50%,8,7,87.50%,8,6,75.00%,8,5,62.50%,8,6,75.00%,8,8,100.00%,8,7,87.50%,8,5,62.50%,8,7,87.50%,8,7,87.50%,8,7,87.50%,8,7,87.50%,8,4,50.00%,8,5,62.50%,8,6,75.00%,8,5,62.50%,8,7,87.50%,8,6,75.00%,8,5,62.50%,8,6,75.00%,8,7,87.50%,8,6,75.00%,8,6,75.00%,8,5,62.50%,8,6,75.00%,8,4,50.00%,8,6,75.00%,8,6,75.00%,8,5,62.50%,8,8,100.00%,8,6,75.00%,8,8,100.00%,8,6,75.00%,8,6,75.00%
North East and Yorkshire Commissioning Region,RWA,Hull University Teaching Hospitals NHS Trust,44,29,65.90%,44,31,70.50%,44,33,75.00%,44,35,79.50%,44,32,72.70%,44,24,54.50%,44,25,56.80%,44,35,79.50%,44,31,70.50%,44,36,81.80%,44,33,75.00%,44,31,70.50%,44,24,54.50%,44,24,54.50%,44,30,68.20%,44,31,70.50%,44,35,79.50%,44,33,75.00%,44,37,84.10%,44,31,70.50%,44,32,72.70%,44,32,72.70%,44,27,61.40%,44,30,68.20%,44,29,65.90%,44,31,70.50%,44,30,68.20%,44,28,63.60%,44,26,59.10%,44,29,65.90%,44,29,65.90%,44,35,79.50%,44,39,88.60%,44,35,79.50%,44,30,68.20%,44,35,79.50%,44,34,77.30%,44,36,81.80%,44,35,79.50%,44,29,65.90%,44,28,63.60%,44,28,63.60%,44,31,70.50%,44,33,75.00%,44,31,70.50%,44,30,68.20%,44,31,70.50%,44,27,61.40%,44,23,52.30%,44,31,70.50%,44,32,72.70%,44,33,75.00%,44,32,72.70%,44,28,63.60%,44,23,52.30%,44,23,52.30%,44,27,61.40%,44,36,81.80%,44,41,93.20%,44,34,77.30%,44,31,70.50%,44,31,70.50%,44,26,59.10%,44,35,79.50%,44,31,70.50%,44,36,81.80%,44,36,81.80%,44,38,86.40%,44,34,77.30%,44,26,59.10%,44,37,84.10%,44,32,72.70%,44,33,75.00%,44,33,75.00%,44,28,63.60%,44,28,63.60%,44,22,50.00%,44,34,77.30%,44,33,75.00%,44,31,70.50%,44,28,63.60%,44,29,65.90%,44,28,63.60%,44,29,65.90%,44,34,77.30%,44,33,75.00%,44,39,88.60%,44,37,84.10%,44,33,75.00%,44,30,68.20%,44,28,63.60%
North East and Yorkshire Commissioning Region,RR8,Leeds Teaching Hospitals NHS Trust,104,86,82.70%,104,87,83.70%,104,83,79.80%,104,90,86.50%,104,84,80.80%,95,81,85.30%,95,79,83.20%,104,77,74.00%,104,86,82.70%,104,89,85.60%,104,93,89.40%,104,87,83.70%,95,81,85.30%,95,86,90.50%,104,92,88.50%,104,89,85.60%,104,90,86.50%,104,86,82.70%,104,80,76.90%,95,81,85.30%,95,85,89.50%,104,87,83.70%,104,82,78.80%,104,76,73.10%,104,84,80.80%,104,81,77.90%,95,78,82.10%,95,74,77.90%,104,90,86.50%,104,86,82.70%,104,81,77.90%,104,91,87.50%,104,88,84.60%,95,80,84.20%,95,86,90.50%,104,83,79.80%,104,93,89.40%,104,92,88.50%,104,93,89.40%,104,88,84.60%,95,87,91.60%,95,83,87.40%,104,84,80.80%,104,91,87.50%,104,87,83.70%,104,91,87.50%,104,86,82.70%,95,79,83.20%,95,80,84.20%,104,84,80.80%,104,87,83.70%,104,89,85.60%,104,85,81.70%,104,86,82.70%,95,76,80.00%,95,80,84.20%,104,90,86.50%,104,92,88.50%,104,87,83.70%,104,93,89.40%,104,90,86.50%,95,77,81.10%,95,77,81.10%,104,86,82.70%,104,96,92.30%,104,95,91.30%,104,94,90.40%,104,81,77.90%,95,76,80.00%,95,73,76.80%,104,80,76.90%,104,90,86.50%,104,89,85.60%,104,88,84.60%,104,91,87.50%,95,85,89.50%,95,83,87.40%,104,87,83.70%,104,87,83.70%,104,92,88.50%,104,87,83.70%,104,92,88.50%,95,92,96.80%,95,92,96.80%,104,82,78.80%,104,88,84.60%,104,87,83.70%,104,80,76.90%,104,79,76.00%,95,77,81.10%,95,76,80.00%
North East and Yorkshire Commissioning Region,RXF,Mid Yorkshire Hospitals NHS Trust,20,9,45.00%,20,11,55.00%,20,10,50.00%,20,11,55.00%,20,8,40.00%,20,7,35.00%,20,9,45.00%,20,10,50.00%,20,13,65.00%,20,9,45.00%,20,14,70.00%,20,12,60.00%,20,12,60.00%,20,10,50.00%,20,11,55.00%,20,10,50.00%,20,12,60.00%,20,14,70.00%,20,12,60.00%,20,13,65.00%,20,14,70.00%,20,12,60.00%,20,14,70.00%,20,13,65.00%,20,13,65.00%,20,12,60.00%,20,12,60.00%,20,11,55.00%,20,11,55.00%,20,10,50.00%,20,10,50.00%,20,10,50.00%,20,8,40.00%,20,10,50.00%,20,10,50.00%,20,13,65.00%,20,13,65.00%,20,14,70.00%,20,14,70.00%,20,9,45.00%,20,8,40.00%,20,7,35.00%,20,9,45.00%,20,7,35.00%,20,6,30.00%,20,12,60.00%,20,9,45.00%,20,12,60.00%,20,11,55.00%,20,11,55.00%,20,13,65.00%,20,10,50.00%,20,14,70.00%,20,11,55.00%,20,9,45.00%,20,9,45.00%,20,11,55.00%,20,10,50.00%,20,12,60.00%,20,10,50.00%,20,13,65.00%,20,8,40.00%,20,9,45.00%,20,12,60.00%,20,14,70.00%,20,14,70.00%,20,11,55.00%,20,13,65.00%,20,11,55.00%,20,10,50.00%,20,14,70.00%,20,10,50.00%,20,12,60.00%,20,13,65.00%,20,11,55.00%,20,12,60.00%,20,11,55.00%,20,13,65.00%,20,14,70.00%,20,10,50.00%,20,10,50.00%,20,10,50.00%,20,8,40.00%,20,10,50.00%,20,7,35.00%,20,8,40.00%,20,11,55.00%,20,11,55.00%,20,12,60.00%,20,12,60.00%,20,10,50.00%
North East and Yorkshire Commissioning Region,RNN,North Cumbria Integrated Care NHS Foundation Trust,15,14,93.30%,15,13,86.70%,15,13,86.70%,15,14,93.30%,15,14,93.30%,15,14,93.30%,15,12,80.00%,15,13,86.70%,15,14,93.30%,15,11,73.30%,15,13,86.70%,15,14,93.30%,15,14,93.30%,15,12,80.00%,15,12,80.00%,15,11,73.30%,15,13,86.70%,15,12,80.00%,15,12,80.00%,15,13,86.70%,15,14,93.30%,15,13,86.70%,15,14,93.30%,15,12,80.00%,15,15,100.00%,15,11,73.30%,15,12,80.00%,15,13,86.70%,15,14,93.30%,15,14,93.30%,15,12,80.00%,15,11,73.30%,15,9,60.00%,15,12,80.00%,15,13,86.70%,15,11,73.30%,15,9,60.00%,15,9,60.00%,15,10,66.70%,15,11,73.30%,15,12,80.00%,15,11,73.30%,15,7,46.70%,15,10,66.70%,15,10,66.70%,15,10,66.70%,15,7,46.70%,15,8,53.30%,15,10,66.70%,15,10,66.70%,15,10,66.70%,15,10,66.70%,15,12,80.00%,15,11,73.30%,15,10,66.70%,15,13,86.70%,15,13,86.70%,15,12,80.00%,15,11,73.30%,15,12,80.00%,15,12,80.00%,15,11,73.30%,15,13,86.70%,15,14,93.30%,15,10,66.70%,15,10,66.70%,15,9,60.00%,15,7,46.70%,15,9,60.00%,15,11,73.30%,15,12,80.00%,15,14,93.30%,15,13,86.70%,15,12,80.00%,15,11,73.30%,15,11,73.30%,15,11,73.30%,15,13,86.70%,15,13,86.70%,15,12,80.00%,15,13,86.70%,15,10,66.70%,15,11,73.30%,15,9,60.00%,15,12,80.00%,15,10,66.70%,15,9,60.00%,15,9,60.00%,15,8,53.30%,15,7,46.70%,15,10,66.70%
North East and Yorkshire Commissioning Region,RVW,North Tees and Hartlepool NHS Foundation Trust,16,11,68.80%,16,14,87.50%,16,14,87.50%,16,13,81.30%,16,10,62.50%,16,13,81.30%,16,13,81.30%,16,15,93.80%,16,13,81.30%,16,12,75.00%,16,13,81.30%,16,11,68.80%,16,13,81.30%,16,12,75.00%,16,13,81.30%,16,14,87.50%,16,13,81.30%,16,12,75.00%,16,12,75.00%,16,10,62.50%,16,11,68.80%,16,12,75.00%,16,13,81.30%,16,12,75.00%,16,12,75.00%,16,12,75.00%,16,11,68.80%,16,13,81.30%,16,15,93.80%,16,13,81.30%,16,12,75.00%,16,12,75.00%,16,10,62.50%,16,14,87.50%,16,14,87.50%,16,14,87.50%,16,14,87.50%,16,16,100.00%,16,13,81.30%,16,13,81.30%,16,15,93.80%,16,15,93.80%,16,16,100.00%,17,16,94.10%,16,16,100.00%,16,12,75.00%,16,12,75.00%,16,10,62.50%,16,11,68.80%,16,11,68.80%,16,13,81.30%,16,11,68.80%,16,9,56.30%,16,13,81.30%,16,13,81.30%,16,11,68.80%,16,10,62.50%,16,13,81.30%,16,13,81.30%,16,14,87.50%,16,14,87.50%,16,15,93.80%,16,13,81.30%,16,13,81.30%,16,15,93.80%,16,12,75.00%,16,14,87.50%,16,11,68.80%,16,11,68.80%,16,10,62.50%,16,11,68.80%,16,10,62.50%,16,12,75.00%,16,12,75.00%,16,11,68.80%,16,11,68.80%,16,15,93.80%,16,15,93.80%,16,15,93.80%,16,13,81.30%,16,13,81.30%,16,12,75.00%,16,12,75.00%,16,11,68.80%,16,10,62.50%,16,10,62.50%,16,14,87.50%,16,14,87.50%,16,11,68.80%,16,12,75.00%,16,12,75.00%
North East and Yorkshire Commissioning Region,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,14,13,92.90%,14,12,85.70%,14,14,100.00%,14,14,100.00%,14,13,92.90%,14,12,85.70%,14,11,78.60%,14,14,100.00%,14,12,85.70%,14,14,100.00%,14,14,100.00%,14,12,85.70%,14,12,85.70%,14,14,100.00%,14,13,92.90%,14,12,85.70%,14,13,92.90%,14,10,71.40%,14,11,78.60%,14,14,100.00%,14,9,64.30%,14,10,71.40%,14,12,85.70%,14,10,71.40%,14,11,78.60%,14,13,92.90%,14,13,92.90%,14,12,85.70%,14,11,78.60%,14,12,85.70%,14,13,92.90%,14,11,78.60%,15,15,100.00%,14,14,100.00%,14,14,100.00%,14,14,100.00%,14,14,100.00%,14,13,92.90%,14,13,92.90%,14,13,92.90%,14,12,85.70%,14,13,92.90%,14,13,92.90%,14,14,100.00%,14,14,100.00%,14,14,100.00%,14,12,85.70%,14,12,85.70%,14,11,78.60%,14,11,78.60%,14,13,92.90%,14,13,92.90%,14,12,85.70%,14,13,92.90%,14,12,85.70%,14,11,78.60%,14,13,92.90%,14,14,100.00%,14,10,71.40%,14,13,92.90%,14,11,78.60%,14,10,71.40%,14,11,78.60%,14,13,92.90%,14,13,92.90%,14,9,64.30%,14,9,64.30%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,11,78.60%,14,11,78.60%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,12,85.70%,14,10,71.40%,14,12,85.70%,14,12,85.70%,14,11,78.60%,14,12,85.70%,14,13,92.90%,14,12,85.70%,14,9,64.30%,14,10,71.40%,14,13,92.90%,14,14,100.00%,14,14,100.00%,14,14,100.00%,14,13,92.90%,14,13,92.90%
